peacock	143965
simon	143868
draper	143721
crockett	143687
golden	143520
craft	143464
crouch	143421
meredith	143215
harden	143139
baily	143138
gardiner	142864
hayward	142767
mccracken	142582
kirkpatrick	142480
churchill	142438
weston	142412
byers	142352
doty	142222
mullen	142102
allred	142012
adair	141888
ham	141449
cartwright	141297
childs	141113
beal	140748
dunham	140314
dougherty	140311
haney	140305
waite	140101
horner	139862
bowden	139801
singleton	139505
eldridge	139490
sewell	139451
koch	139272
foley	139106
boggs	139053
cherry	139013
dewitt	138895
woodruff	138864
conway	138416
crabtree	138002
dobson	137859
beaver	137772
foote	137757
ash	137600
plummer	137517
dodge	137251
ashby	137165
boyce	137161
winn	137079
donaldson	137076
hanna	137033
sinclair	136988
hodgson	136952
chaney	136897
hinton	136797
burris	136658
holder	136550
lovell	136407
janes	135977
murry	135930
reece	135735
sadler	135595
crandall	135352
lacy	135312
workman	134993
beatty	134903
steward	134657
thorne	134575
nicholas	134529
boyle	134276
aldrich	134065
hurley	134057
cary	133773
holley	133483
stroud	133477
latham	133470
gore	133394
guy	133320
talbot	132997
sherwood	132931
witt	132853
hills	132786
schwartz	132465
amos	132142
justice	132126
north	132051
valentine	132018
swift	132001
brennan	131916
phipps	131915
padgett	131862
mayer	131840
pitman	131766
sumner	131718
joyce	131625
jewell	131530
mayo	131441
betts	131370
mcknight	131296
gaines	131071
denny	130961
lockwood	130926
hoyt	130892
raymond	130885
andersen	130790
shirley	130747
drew	130464
coats	130295
nolan	130154
hoskins	130115
root	130011
cramer	129982
moyer	129812
piper	129717
holliday	129620
elder	129465
rees	129422
puckett	129370
gregg	129197
ferris	129192
corbett	129137
roth	129114
hester	129028
herman	128811
masters	128774
sheldon	128715
sprague	128566
hay	128474
kenney	128411
corbin	128333
miner	128253
schaefer	128190
helms	128025
cash	127834
frey	127726
bland	127706
mcgowan	127663
talley	127662
painter	127459
mcgregor	127276
atwood	127241
minor	127135
farr	127112
sykes	127020
grove	126855
jeffries	126807
frederick	126610
mayes	126585
putnam	126557
inman	126523
gilliam	126350
weir	126336
walden	126286
mcclellan	126240
moser	126222
thorn	126124
lock	125869
mack	125759
herbert	125665
rhoades	125589
teague	125342
moseley	125070
rollins	125057
gunn	125018
ackerman	124761
wilder	124731
edmonds	124310
dickey	124121
hahn	124114
bateman	124089
whitley	124044
wagoner	123977
mooney	123926
cope	123845
neely	123807
coker	123761
abell	123585
storey	123547
stratton	123444
tompkins	123413
calvert	123410
couch	123393
snell	123062
thomason	123059
mclain	123039
rouse	123034
hawley	122936
hand	122916
vickers	122797
barrow	122786
blanton	122731
cheney	122687
crowe	122541
ivey	122391
bullard	122369
kay	122256
flanagan	122043
eddy	122017
castle	121699
goode	121581
cornell	121389
hughs	121352
dick	121303
lacey	121247
rowley	121188
mcmullen	121134
adamson	121084
naylor	121078
clifton	120877
ratliff	120769
gamble	120496
fulton	120453
chamberlin	120431
duffy	120180
berg	120095
boon	120026
meeks	120025
tipton	119943
birch	119831
street	119821
billings	119785
goss	119561
hannah	119504
travis	119503
coon	119490
houghton	119327
bowling	119287
gifford	119227
hatcher	119071
coe	118800
oakes	118746
elkins	118630
foreman	118447
springer	118379
chadwick	118366
mackey	118232
franks	118146
quick	118114
ritter	118093
whiting	118050
pate	118043
hadley	117974
connell	117947
gale	117875
coffman	117856
brook	117644
odonnell	117537
womack	117390
worley	117320
forrest	117206
croft	116888
blackman	116782
callaway	116740
low	116736
erwin	116728
thorp	116560
jolly	116557
bonner	116516
mccauley	116460
kane	116383
judd	116366
pickering	116363
gillett	116353
griggs	116349
manley	116289
haas	116238
paterson	116074
hollis	116044
wynn	115945
parrott	115904
mosley	115827
kendrick	115774
mcelroy	115747
davey	115718
pryor	115560
bliss	115453
courtney	115432
spaulding	115374
loyd	115370
meek	115276
self	115147
nielsen	115076
lincoln	115000
mckinley	114903
beebe	114892
jamison	114767
rutledge	114721
shipley	114661
charles	114288
platt	114197
godwin	114179
wooten	114039
thayer	113866
dotson	113764
jacobson	113467
mcfadden	113435
kellogg	113422
moses	113352
